"raw_sha256","batch_id","batch_index","source","family_label_status","exclusion_reason","vt_consensus_family","raw_size_bytes","file_magic","sha256_verified","defender_status","defender_name","tool_hint_family","hint_sources","sigcheck_status","diec_status","capa_status","floss_status","strings_status","diec_summary","capa_summary","strings_summary","tool_errors","candidate_status","error"
"6ad54fd7f7695a72278a6b4e711663bf45f09bdc5c190f08497147e809dd5468","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","unlabelled","excluded_unlabelled","unlabelled","90920","4D5A","True","completed","","emotet","strings","completed","completed","completed","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 90920 values : [ info : name : Turbo Linker string : Linker: Turbo Linker(2.25) type : linker version : 2.25 info : Enterprise name : Borland Delphi string : Compiler: Borland Delphi(6-7 or 2005)[Enterprise] type : compiler version : 6-7 or 2005 ] ]","md5 4c9d942051298f4230492d26cbb44650 sha1 1a3ced708850a7a3f33fbdbd80df4f4dec409344 sha256 6ad54fd7f7695a72278a6b4e711663bf45f09bdc5c190f08497147e809dd5468 analysis static os windows format pe arch i386 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt ATT CK Tactic ATT CK Technique DEFENSE EVASION File and Directory Permissions Modification [T1222] Indicator Removal::File Deletion [T1070.004] Indicator Removal::Timestomp [T1070.006] Process Injection::Thread Execution Hijacking [T1055.003] Reflective Code Loading [T1620] DISCOVERY Account Discovery [T1087] Application Window Discovery [T1010] File and Directory Discovery [T1083] Network Share Discovery [T1135] Query Registry [T1012] System Information Discovery [T1082] System Location Discovery [T1614] EXECUTION Command ","This program must be run under Win32 Cardinal SOFTWARE\Borland\Delphi\RTL FPUMaskValue Unknown0 CursorEntry IconEntry Accelerators MessageTable Unknown13 Unknown15 kernel32.dll CreateToolhelp32Snapshot Heap32ListFirst Heap32ListNext Heap32First Heap32Next Toolhelp32ReadProcessMemory Process32First Process32Next Process32FirstW Process32NextW Thread32First Thread32Next Module32First Module32Next Module32FirstW Module32NextW GetCurrentThreadId Kernel32.dll ntdll.dll NtOpenThread InjectCode InjectData Kernel32.dll User32.dll LoadLibraryA PostMessageA Kernel32.dll User32.dll LoadLibraryA PostMessageA AG_TESTWINDOW TArrayString SendMail SendMail administrator \admin \ SendMail _desktop.ini system32 Documents and Settings System Volume Information Recycled \Program Files\ Windows NT WindowsUpdat","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","supporting_hint",""
"d1444f0a7bde8cd9dd6628486fe34b26f45b4be0eb76907e7b85ba74d950933a","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","unlabelled","excluded_unlabelled","unlabelled","23132","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE64 info : offset : 0 parentfilepart : Header size : 23132 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(14.16.27041) type : linker version : 14.16.27041 info : C name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(19.16.27041)[C] type : compiler version : 19.16.27041 info : dynamic name : Microsoft C/C++ Runtime string : Library: Microsoft C/C++ Runtime[dynamic] type : library version : info : name : Microsoft Visual Stud","md5 d9c761188bd79dd60e43649e7c853a61 sha1 c70aa212b453eca54fcc9d462733864b38e15499 sha256 d1444f0a7bde8cd9dd6628486fe34b26f45b4be0eb76907e7b85ba74d950933a analysis static os windows format pe arch amd64 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt ATT CK Tactic ATT CK Technique DEFENSE EVASION Virtualization/Sandbox Evasion::System Checks [T1497.001] DISCOVERY System Information Discovery [T1082] EXECUTION Command and Scripting Interpreter [T1059] MBC Objective MBC Behavior ANTI-BEHAVIORAL ANALYSIS Virtual Machine Detection [B0009] DISCOVERY System Information Discovery [E1082] EXECUTION Command and Scripting Interpreter [E1059] Install Additional Program [B0023] Capability Namespace reference anti-VM strings targeting anti-analysis/anti-vm/vm-detection VirtualBox c","!This program cannot be run in DOS mode. H3E H3E sun.security.tools.keytool.Main /lib/tools.jar /classes _JAVA_LAUNCHER_DEBUG Windows original main args: wwwd_args[%d] = %s 1.8.0_281-b09 c:\jenkins\workspace\8-2-build-windows-amd64-cygwin\jdk8u281\880\build\windows-amd64\jdk\objs\keytool_objs\keytool.pdb .text mn .text mn 00 .idata 5 .CRT XCA .CRT XCAA .CRT XCZ .CRT XIA .CRT XIAA .CRT XIAC .CRT XIZ .CRT XPA .CRT XPZ .CRT XTA .CRT XTZ .rdata zzzdbg .rtc IAA .rtc IZZ .rtc TAA .rtc TZZ .idata 2 .idata 3 .idata 4 .idata 6 .rsrc 01 .rsrc 02 JLI_MemAlloc JLI_GetStdArgs JLI_GetStdArgc JLI_CmdToArgs JLI_Launch GetCommandLineA QueryPerformanceCounter GetCurrentProcessId GetCurrentThreadId GetSystemTimeAsFileTime InitializeSListHead RtlCaptureContext RtlLookupFunctionEntry RtlVirtualUnwind IsDebugge","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"890483a7d9659873c9c1eaa65df9824fcca00b7788c88c551a81e638ff16b746","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","labelled","excluded_unstable_family","ulise","119311","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE64 info : offset : 0 parentfilepart : Header size : 119311 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(14.16.27044) type : linker version : 14.16.27044 info : LTCG/C++ name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(19.16.27044)[LTCG/C++] type : compiler version : 19.16.27044 info : name : Microsoft Visual Studio string : Tool: Microsoft Visual Studio(2017 15.9) type : tool version : 2017 15.9 info : pogo name : Rec","md5 1657b93fa6e060281b44f892004f8541 sha1 022269d49dbaa07cd830b83edfd0033f1ff55b76 sha256 890483a7d9659873c9c1eaa65df9824fcca00b7788c88c551a81e638ff16b746 analysis static os windows format pe arch amd64 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt ATT CK Tactic ATT CK Technique DEFENSE EVASION Deobfuscate/Decode Files or Information [T1140] Obfuscated Files or Information [T1027] DISCOVERY File and Directory Discovery [T1083] Query Registry [T1012] System Information Discovery [T1082] EXECUTION Command and Scripting Interpreter [T1059] PERSISTENCE Boot or Logon Autostart Execution::Registry Run Keys / Startup Folder [T1547.001] MBC Objective MBC Behavior COMMAND AND CONTROL C2 Communication::Receive Data [B0030.002] C2 Communication::Send Data [B0030.001] COMMUNICAT","!This program cannot be run in DOS mode. UVWATAVH H SUVWAVH UATAUAVAWH A_A A]A\] SUVWAUAVAWH 0A_A A]_ ][ SUVWATAVAWH 0A_A A\_ ][ UWATAVAWH A_A A\_] x UATAUAVAWH A_A A]A\] UWATAUAVH A A]A\_] UWAUAVAWH A_A A]_] UVWATAUAVAWH A_A A]A\_ ] USVATAUAVAWH A_A A]A\ [] UATAUAVAWH A_A A]A\] x ATAVAWH UATAUAVAWH A_A A]A\] H9\ t2H UVWATAUAVAWH A_A A]A\_ ] UATAUAVAWH A_A A]A\] UATAUAVAWH A_A A]A\] UVWAVAWH 0A_A _ ] UWATAVAWH gfffffffI A_A A\_] UATAUAVAWH A_A A]A\] UVWAVAWH A_A _ ] UATAUAVAWH A_A A]A\] gfffffffI UATAUAVAWH A_A A]A\] USVWAUAVAWH A_A A]_ [] USWATAUAVAWH A_A A]A\_[] UVWATAUAVAWH A_A A]A\_ ] UWATAVAWH A_A A\_] \ @8x(t \ @8x(t UVWATAUAVAWH A_A A]A\_ ] USVWATAUAVAWH A_A A]A\_ [] gfffffffH @UVWAVAWH gfffffffI 0A_A _ ] USVWATAVAWH A_A A\_ [] UVWATAUAVAWH 8I; @t2L gfffffffH A_A A]A\_ ] @UVWAVAWH g","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"c3e213555497784862913acaf8783bf19125f0c7989b081f9f770005f51b8618","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","unlabelled","excluded_unlabelled","unlabelled","9338880","4D5A","True","completed","","","","completed","completed","timeout","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 9338880 values : [ info : name : Turbo Linker string : Linker: Turbo Linker(2.25) type : linker version : 2.25 info : name : Borland Delphi string : Compiler: Borland Delphi(7) type : compiler version : 7 info : name : TASM32 string : Compiler: TASM32(5.x) type : compiler version : 5.x ] ]","","This program must be run under Win32 Cardinal IInterface TInterfacedObject VWP R_QX9 SVWP R_) SOFTWARE\Borland\Delphi\RTL FPUMaskValue ZTUWVSPRTj SVWP[R Q_WX SVWR[Q P SVWRPR[) SVWP R_9 SVWP[R Q_ tVSVWUP[R Q_ t1SVWP R_ SVWP[R 1 SVWP R_9 UT]SVWQ_R[P VX SVQR[P 1 PSVWP[R Q_1 SVWUP[R ) SVWUP[R Q_ S_WXZ_ [ kernel32.dll GetLongPathNameA Software\Borland\Locales Software\Borland\Delphi\Locales odSelected odGrayed odDisabled odChecked odFocused odDefault odHotLight odInactive odNoAccel odNoFocusRect odReserved1 odReserved2 odComboBoxEdit TOwnerDrawState UT]QSVWQ_R Magellan MSWHEEL MSWHEEL_ROLLMSG MSH_WHEELSUPPORT_MSG MSH_SCROLL_LINES_MSG ExceptionHt@ EHeapException EOutOfMemory EInOutErrorXu@ EExternal EExternalException EIntError EDivByZero ERangeError EIntOverflow EMathError EInvalidOp EZeroDivid","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"892749ca8705661fd9a4c5b7f05493264828a25f2afc78756b6e1c46243be4d3","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","insufficient_votes","excluded_insufficient_votes","insufficient_votes","2486540","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 2486540 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(10.10.30716) type : linker version : 10.10.30716 info : LTCG/C++ name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(16.10.30716)[LTCG/C++] type : compiler version : 16.10.30716 info : PKCS #7 name : Windows Authenticode string : Sign tool: Windows Authenticode(2.0)[PKCS #7] type : sign tool version : 2.0 info : codev","md5 a0c3ba8c46d11a1a01044d5a19965d24 sha1 208e1622a9b045c40bf3a7d1cb58d807fb62fd27 sha256 892749ca8705661fd9a4c5b7f05493264828a25f2afc78756b6e1c46243be4d3 analysis static os windows format pe arch i386 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt ATT CK Tactic ATT CK Technique DEFENSE EVASION Obfuscated Files or Information [T1027] Process Injection::Thread Execution Hijacking [T1055.003] Reflective Code Loading [T1620] DISCOVERY File and Directory Discovery [T1083] Process Discovery [T1057] Query Registry [T1012] System Information Discovery [T1082] System Service Discovery [T1007] EXECUTION Shared Modules [T1129] PERSISTENCE Create or Modify System Process::Windows Service [T1543.003] PRIVILEGE ESCALATION Access Token Manipulation [T1134] MBC Objective MBC Behavio","!This program cannot be run in DOS mode. ;t (sAWVS L _ ][3 L HQSSSSP D 9D 0u instapi110.dll SQLDUMPER_ERRORLOG.log SQLDUMPER_UNKNOWN_APP.EXE SQLDUMPER_UNKNOWN_MODULE.DLL SQLDUMPER SOFTWARE\Microsoft\Microsoft SQL Server\110 SQLException Dumping process is active - ignoring console event %d. (%X:%X) %ls %ls %ls %25ls Unable to free parameter block %x SeDebugPrivilege AdjustTokenPrivileges () completed with status (%08x) OpenProcessToken () failed (%08x) Reporting Services ReportServer Could not open registry key %ls . Error Code 0x%x - %ls Could not open registry key %ls . Error Code 0x%x Right instance-specific key can not be determined Watson Invoke: Yes Watson Invoke: No Exception %x %p HeapSetInformation kernel32.dll ReadFullMemory (%p to %p) only read %d bytes ReadFullMemory (%p to %p)","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"ee37bdac0a57fa48feb4389636adf6385993eda3c9d41e422c60380473fe1273","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","unlabelled","excluded_unlabelled","unlabelled","43008","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 43008 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(14.29.30133) type : linker version : 14.29.30133 info : LTCG/C++ name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(19.29.30133)[LTCG/C++] type : compiler version : 19.29.30133 info : dynamic name : Microsoft C/C++ Runtime string : Library: Microsoft C/C++ Runtime[dynamic] type : library version : info : name : Microso","md5 758e8bfa50ed4f25ba0aaaf7890cd311 sha1 e44a2debfb4172b508b0ac94af4e008a7799464a sha256 ee37bdac0a57fa48feb4389636adf6385993eda3c9d41e422c60380473fe1273 analysis static os windows format pe arch i386 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt ATT CK Tactic ATT CK Technique DEFENSE EVASION Obfuscated Files or Information::Indicator Removal from Tools [T1027.005] DISCOVERY System Information Discovery [T1082] EXECUTION Shared Modules [T1129] PERSISTENCE Office Application Startup::Add-ins [T1137.006] MBC Objective MBC Behavior ANTI-STATIC ANALYSIS Executable Code Obfuscation::Argument Obfuscation [B0032.020] Executable Code Obfuscation::Stack Strings [B0032.017] COMMAND AND CONTROL C2 Communication::Receive Data [B0030.002] COMMUNICATION HTTP Communication::Downlo","!This program cannot be run in DOS mode. bad allocation Unknown exception bad array new length string too long bad cast LOGONSERVER USERDOMAIN https://cdn.discordapp.com/attachments/908705566321422390/909753510814421003/JJcxOabV.mkv https://cdn.discordapp.com/attachments/908705566321422390/909753518209007626/HwzVWuvvxyDIeb.mkv https://cdn.discordapp.com/attachments/908705566321422390/909753523615449138/DZrFDCHhO.mkv https://cdn.discordapp.com/attachments/908705566321422390/909753527574888458/NdexLBk.mkv https://cdn.discordapp.com/attachments/908705566321422390/909753531605614612/rKflIvlNiqN.mkv https://cdn.discordapp.com/attachments/908705566321422390/909753535258824734/tdPnx.mkv https://cdn.discordapp.com/attachments/908705566321422390/909753542338809856/LWrBQBXbOJRl.mkv https://cdn.disco","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"af1af44387a4c3f10872a20d6fbfcd6463c52f00756b200d9d6d4c17a35a5d80","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","unlabelled","excluded_unlabelled","unlabelled","1958408","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 1958408 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(10.00.40219) type : linker version : 10.00.40219 info : C++ name : Microsoft Visual C/C++ string : Compiler: Microsoft Visual C/C++(16.00.40219)[C++] type : compiler version : 16.00.40219 info : name : Microsoft Visual Studio string : Tool: Microsoft Visual Studio(2010) type : tool version : 2010 ] ]","md5 bf0092e9b072fe31500c9c1df5d67fbb sha1 60e18ac2815cdf42e564175d463cca823e891a2d sha256 af1af44387a4c3f10872a20d6fbfcd6463c52f00756b200d9d6d4c17a35a5d80 analysis static os windows format pe arch i386 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt ATT CK Tactic ATT CK Technique EXECUTION Shared Modules [T1129] MBC Objective MBC Behavior DISCOVERY Analysis Tool Discovery::Process detection [B0013.001] PROCESS Terminate Process [C0018] Capability Namespace reference analysis tools strings anti-analysis terminate process host-interaction/process/terminate link function at runtime on Windows (5 linking/runtime-linking matches) link many functions at runtime linking/runtime-linking resolve function by parsing PE exports load-code/pe","!This program cannot be run in DOS mode. Wpi Wpi/ h 6 ihX; yzihTlzih0 p ih aQ f; !/fSVW hHfzihhwF k[ra+ %= ak-4fm2B) h VzihPu 7 oz z#u SxihP ih4 Wpi Wpi/ CryptGenRandom ADVAPI32.dll z P;xs]E h VzihPu W8h 8 ih SxihP ih4 t SS9] u UQPXY]Y[ PPPPPPPP PPPPPPPP tCHt(Ht ;Xhi 6 h E\Z h[_i TB.phAiiaA; D0 @hi YHh0 \8F );q0B1Na; uPhizV + @249#UV z P9fLhizgth Th iQ [i u fQ M@ @pxB2mf4-ka OS8h4IPh y5IE2O8i OmCVl+Hi ik8Ai [xh !8Lc hpV IHXigUFig D sk ih -Kernel32.dll FileTimeToSystemTime FaNretupmoCteGmeW ole32.dll CoCreateInstance Kernel32.dll TlacoLteGime %s %s%s --splash vector T too long kernel32.dll IsWow64Process RegOpenKeyTransactedW Advapi32.dll string too long invalid string position eg et alue x %s AAA %s CreateProcessW PathAddExtensionW Shlwapi.dll ntdll.dll NoRemove ForceRemove 0123456789ABCDE","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"1b30b786f1dc5ae372b99e06e620ff6e7dd4dc13c0753ae8ca572e23b20d485c","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","unlabelled","excluded_unlabelled","unlabelled","458752","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 458752 values : [ info : name : Unknown string : Unknown: Unknown type : Unknown version : ] ]","md5 d7c227c6b02598b73e51647191e3232f sha1 8cab534d739b23ac23dee394848d4feb1a739886 sha256 1b30b786f1dc5ae372b99e06e620ff6e7dd4dc13c0753ae8ca572e23b20d485c analysis static os windows format pe arch i386 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt ATT CK Tactic ATT CK Technique DEFENSE EVASION Obfuscated Files or Information [T1027] Obfuscated Files or Information::Software Packing [T1027.002] MBC Objective MBC Behavior ANTI-STATIC ANALYSIS Software Packing::Standard Compression [F0001.002] DATA Encode Data::XOR [C0026.002] DEFENSE EVASION Obfuscated Files or Information::Encoding-Standard Algorithm [E1027.m02] EXECUTION Install Additional Program [B0023] Capability Namespace packed with generic packer anti-analysis/packer/generic encode data using XOR (3 matches) da","w 9] Y9M A; CoCreateInstance CLSIDFromString CoInitialize CoUninitialize SysAllocString DeleteUrlCacheEntry FindFirstUrlCacheEntryA FindNextUrlCacheEntryA ExitProcess ExpandEnvironmentStringsA GetCommandLineA GetComputerNameA GetCurrentProcessId GetCurrentThreadId GetExitCodeThread GetFileSize GetModuleFileNameA GetModuleHandleA CloseHandle GetProcAddress GetSystemDirectoryA GetTempPathA GetTickCount GetVersion GetVersionExA GetWindowsDirectoryA GlobalMemoryStatus CopyFileA InterlockedIncrement IsBadReadPtr IsBadWritePtr LoadLibraryA LocalAlloc LocalFree OpenMutexA CreateFileA ReadFile RtlUnwind SetFilePointer CreateMutexA TerminateProcess VirtualQuery CreateProcessA WaitForSingleObject WideCharToMultiByte WriteFile lstrlenA lstrlenW CreateThread DeleteFileA GetWindowTextA GetWindowRect Fi","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"742464699fadc08092c31da03b7ce10ac11b2be9060d90ef6202d940f15cbaef","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","unlabelled","excluded_unlabelled","unlabelled","192692","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 192692 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(6.0) type : linker version : 6.0 info : Native name : Visual Basic string : Compiler: Visual Basic(6.00.8783)[Native] type : compiler version : 6.00.8783 ] ]","md5 e512d005f7a8ca31f6dbf09286193906 sha1 f264a9d0f5e16c60d410c05199d010bc51a0017e sha256 742464699fadc08092c31da03b7ce10ac11b2be9060d90ef6202d940f15cbaef analysis static os windows format pe arch i386 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt Capability Namespace compiled from Visual Basic compiler/vb","!This program cannot be run in DOS mode. MSVBVM60.DLL I m Unicorn Adobe Photoshop CC 2018 (Windows) 2019:01:07 19:44:27 Adobe_CM \Photoshop 3.0 printOutput PstSbool Inteenum printSixteenBitbool printerNameTEXT printProofSetupObjc Proof Setup proofSetup Bltnenum builtinProof proofCMYK printOutputOptions Cptnbool Clbrbool RgsMbool CrnCbool CntCbool Lblsbool Ngtvbool EmlDbool Intrbool BckgObjc Rd doub@o Grn doub@o Bl doub@o BrdTUntF#Rlt Bld UntF#Rlt RsltUntF#Pxl@b ectorDatabool PgPsenum LeftUntF#Rlt Top UntF#Rlt Scl UntF#Prc@Y cropWhenPrintingbool cropRectBottomlong cropRectLeftlong cropRectRightlong cropRectToplong boundsObjc Top long Leftlong Btomlong Rghtlong s(icesVlLs sliceIDlong groupIDlong originenum ESliceOrigin autoGenerated Typeenum ESliceType boundsObjc Top long Leftlong Btomlong n","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
"077492959a426a402b41da53e0b721635c605aaaa06ece514936e737fcb16883","server2025_sandbox_campaign_20260608T1830Z_fasttank500_fulltools_batch_0001","1","virusshare_00499","labelled","excluded_unstable_family","midie","189161","4D5A","True","completed","","","","completed","completed","completed","completed","completed","detects : [ filetype : PE32 info : offset : 0 parentfilepart : Header size : 189161 values : [ info : name : Microsoft Linker string : Linker: Microsoft Linker(6.0) type : linker version : 6.0 info : Native name : Visual Basic string : Compiler: Visual Basic(6.00.8783)[Native] type : compiler version : 6.00.8783 ] ]","md5 e6eac4229fb0b399d8aeaf9a4f6acfc8 sha1 32ab12412dfec1b608df5d525e18f726180557aa sha256 077492959a426a402b41da53e0b721635c605aaaa06ece514936e737fcb16883 analysis static os windows format pe arch i386 path C:/SandboxWork/server2025_sandbox_campaign_20260608T1830Z_fastt Capability Namespace compiled from Visual Basic compiler/vb","!ThisRprogram cannot be run in DOS mode. MSVBVM60.DLL I m Unicorn Adobe Photoshop CC 2018 (Windows) 2019:01:H7 19:44:27 Adobe_CM \Photoshop 3.0 printOutput PstSbool Inteenum printSixteenBitbool printerNameTEXT printProofSetupObjc Proof Setup proofSetup Bltnenum builtinProof proofCMYK printOutputOptions Cptnbool Clbrbool RgsMbool CrnCbool CntCbool Lblsbool Ngtvbool EmlDbool Intrbool BckgObjc Rd doub@o Grn doub@o Bl doub@o BrdTUntF#Rlt Bld UntF#Rlt RsltUntF#Pxl@b ectorDatabool PgPsenum LeftUntF#Rlt Top UntF#Rlt Scl UntF#Prc@Y cropWhenPrintingbool cropRectBottomlong cropRectLeftlong cropRectRightlong cropRectToplong boundsObjc Top long Leftlong Btomlong Rghtlong sl)cesVlLs sliceIDlong groupIDlong originenum ESliceOrigin autoGenerated Typeenum ESliceType boundsObjc Top long Leftlong Btomlong n","usage: floss.exe [-h] [-H] [-n MIN_LENGTH] [--no static stack tight decoded [ static stack tight decoded ...]] [--only static stack tight decoded [ static stack tight decoded ...]] [-j] [-v] [-d] [-q] [--color auto always never ] sample","no_hint",""
